dProofs29.txt:321                      11 CpCqCCCrsrr           DD1DD1D111D1DDD1D1DDD1D111111:C0C1CCC2.3.2.2
dProofs29.txt:358                      11 CCpqCCCqrpq           DDD1DDD1D1DDDD1D1D11111D11111:CC0.1CCC1.2.0.1
dProofs31.txt:499                      11 CpCCCqCrqrr           DD1DDD1D1DDD1D111111D1DDD11D111:C0CCC1C2.1.2.2 [instance of CpCCCqCrqss]
dProofs31.txt:503                      11 CCCpCqrsCrs           DDD1D1D1D1DDD1D1D1DDD1D11111111:CCC0C1.2.3C2.3
dProofs33.txt:722                      11 CCCCpqCqqrr           DDD1DDD1D1DDD1D111111D1DD1D11D111:CCCC0.1C1.1.2.2 [instance of CCCpCqqrr]
dProofs33.txt:725                      11 CCCpqCqrCqr           DDD1DDD1D1DDD1D111111D1DDD1D11111:CCC0.1C1.2C1.2
dProofs35.txt:968                      11 CpCqCCCrrss           DD1DD1DD1D11D111D1DDD1D1DDD1D111111:C0C1CCC2.2.3.3
dProofs35.txt:988                      11 CpCCCqCrqss           DD1DDD1D1DDD1D111111D1DD11DDD1D1111:C0CCC1C2.1.3.3
dProofs37.txt:1415                     11 CpCCCqCrsrr           DD1DDD1D1DDD1D111111D1DDD11DDD1D11111:C0CCC1C2.3.2.2
dProofs37.txt:1440                     11 CCCpCqCrqss           DDD1DDD1D1DDD1D111111D1DD1DD1D111D111:CCC0C1C2.1.3.3
dProofs37.txt:1449                     11 CpCqCCqrCsr           DDDD11DDD1D11111DDDD1D1D1DDD1D1111111:C0C1CC1.2C3.2
dProofs39.txt:1790                     11 CpCqCrCsCtq           DD1D1DDD1D1D1DDD1D1111DDDD1D1D111111D11:C0C1C2C3C4.1
dProofs41.txt:2806                     11 CpCCCqCrrss           DD1DDD1D1DDD1D111111D1DD1D1D1DDD1D1111D11:C0CCC1C2.2.3.3
dProofs43.txt:4043                     11 CCCpCqCrrss           DDD1DDD1D1DDD1D111111D1DD1DD1D111D1DD1D1111:CCC0C1C2.2.3.3
dProofs43.txt:4048                     11 CCCpqCrpCrp           DDD1DDD1D1DDD1D111111D1DDD1D1D1DDD1D1111111:CCC0.1C2.0C2.0
dProofs43.txt:4051                     11 CCCpCqCrsrr           DDD1DDD1D1DDD1D111111DDD1D11DDDD1D1D1111111:CCC0C1C2.3.2.2
dProofs45.txt:5728                     11 CCCpCqCrpss           DDD1DDD1D1DDD1D111111D1DD1DD1D111DDD1D1D11111:CCC0C1C2.0.3.3
dProofs47.txt:7888                     11 CpCCqCqrCqr           DD1DDD1D1DDD1D111111DDD1DDD1D11DDDD1D1D11111111:C0CC1C1.2C1.2
dProofs47.txt:8105                     11 CpCqCrCsCtp           DDDD1D1D1D1DDD1D1D1DDD1D111111DDDD1D1D111111D11:C0C1C2C3C4.0
dProofs49.txt:11458                    11 CCCpqpCrCsp           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DD1D1111:CCC0.1.0C2C3.0
dProofs49.txt:11462                    11 CCpqCCCprpq           DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1D111111:CC0.1CCC0.2.0.1
dProofs49.txt:11558                    11 CpCqCCprCsr           DDDD1DDDD1D1D1D1DDDD1D1D11111111DDDD1D1D111111D11:C0C1CC0.2C3.2
dProofs53.txt:22492                    11 CCCpqCCprpp           DDD1DDD1D1D1DDD1DDD1D1DDDD1D1D11111D1111111DDD1D11111:CCC0.1CC0.2.0.0
dProofs53.txt:22794                    11 CCCCCpqpprr           DDD1DDD1D1DDD1D111111D1DD1DDD1D1DDD1D111111DDD1D11111:CCCCC0.1.0.0.2.2
dProofs53.txt:22797                    11 CCCCCpqrprr           DDD1DDD1D1DDD1D111111D1DDD1DDD1D1DDDD1D1D11111D111111:CCCCC0.1.2.0.2.2
dProofs53.txt:22880                    11 CCpqCCCrrpq           DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DDD1D11D11111:CC0.1CCC2.2.0.1
dProofs55.txt:32284                    11 CCCppqCrCsq           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DD1DD1D11D1111:CCC0.0.1C2C3.1
dProofs55.txt:32309                    11 CCCpqrCCrpp           DDD1DDDDDD1D1D1D1DDDD1D1D1111111111D1DDD1D1DDD1D1111111:CCC0.1.2CC2.0.0
dProofs57.txt:44982                    11 CCCpqCCrrpp           DDD1DDD1D1D1DDD1DDD1D1DDDD1D1D11111D1111111D1DDD1D11D1111:CCC0.1CC2.2.0.0
dProofs57.txt:45584                    11 CCCCCppqqrr           DDD1DDD1D1DDD1D111111D1DD1DDD1D1DDD1D111111D1DDD1D11D1111:CCCCC0.0.1.1.2.2
dProofs59.txt:60711                    11 CpCqCrCCrss           DD1DD1DD1D1DDD1D111111D1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111:C0C1C2CC2.3.3
dProofs59.txt:64732                    11 CCCpqrCsCqr           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DD1D1D1DDD1D111111:CCC0.1.2C3C1.2
dProofs61.txt:91708                    11 CCCCCpqprpp           DDD1DDD1D1DDD1D111111DDDDDD1D1D1D1DDDD1D1D111111111DDD1D11111:CCCCC0.1.0.2.0.0
dProofs61.txt:93598                    11 CCCppCCqrqq           DDDDD1D1111D1DDD1DDD1DDD1D1D1DDDD1D1D1111111D1DDD1D11D1111111:CCC0.0CC1.2.1.1
dProofs65.txt:127142                   11 CpCqCCCrqss           DD11DDDD1D1D1DDDDDD1D1D1D1DDDD1D1D111111111111D1DDD1D1DDD1D111111:C0C1CCC2.1.3.3
dProofs65.txt:184756                   11 CCCCCppqrqq           DDD1DDD1D1DDD1D111111DDDDDD1D1D1D1DDDD1D1D111111111D1DDD1D11D1111:CCCCC0.0.1.2.1.1
dProofs67.txt:245345                   11 CpCqCrCCqss           DD1DD1DD1D1DDD1D111111DDD1D1D1DDDD1D1D1D1DDDD1D1D1DDD1D111111111111:C0C1C2CC1.3.3
dProofs67.txt:263291                   11 CCCppCCqqrr           DDD1DDD1DDD1D1D1DDDD1D1D1DDD1D111111111D1DDD1D11D1111D1DDD1D11D1111:CCC0.0CC1.1.2.2
dProofs69.txt:368220                   11 CCpqCCCprqq           DDD1DDD1D1D1D1DDD1D1D1DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111111111111:CC0.1CCC0.2.1.1
dProofs71.txt:534253                   11 CpCCCqCrpss           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D111111111DDDD1D1D11111D1DDD1D1DDD1D1111111:C0CCC1C2.0.3.3
dProofs73.txt:757968                   11 CCCCCpqrrpp           DDD1DDD1D1DDD1D111111DDD1D1D1DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111111111:CCCCC0.1.2.2.0.0
dProofs73.txt:765458                   11 CpCqCCCrpss           DDDD1D1D1111DDDD1D1D1DDDDDD1D1D1D1DDDD1D1D111111111111D1DDD1D1DDD1D111111:C0C1CCC2.0.3.3
dProofs75.txt:1056630                  11 CpCCqrCqCsr           DD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111:C0CC1.2C1C3.2
dProofs77.txt:1561047                  11 CpCCpCCqrqq           DDDD1D1D1DDD1DDD1D1D1DDDD1D1D1111111DDDDD1D1D1D1DDDD1D1D111111111111DDD1D1111:C0CC0CC1.2.1.1
dProofs79.txt:2286961                  11 CCpCCqrqCpq           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDDDD1D1D1D1DDDD1D1D11111111111DDD1D1111:CC0CC1.2.1C0.1
dProofs81.txt:3150763                  11 CCCpCCpqqrr           DDD1DDD1D1DDD1D111111D1DD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1D1DDD1D1111111:CCC0CC0.1.1.2.2
dProofs81.txt:3174313                  11 CpCCCqrCpqq           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1D1D1DDD1DDD1D1DDDD1D1D11111D11111111:C0CCC1.2C0.1.1
dProofs81.txt:3190463                  11 CpCCpCCqqrr           DDDD1D1D1DDD1DDD1D1D1DDDD1D1D1111111DDDDD1D1D1D1DDDD1D1D111111111111D1DDD1D11D111:C0CC0CC1.1.2.2
dProofs83.txt:4562243                  11 CCpqCrCpCsq           DDDD1D1D1DDDD1D1D1D1DDDD1D1D1DDD1D111111111111D1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111:CC0.1C2C0C3.1
dProofs83.txt:4687606                  11 CCpCCqqrCpr           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDDDD1D1D1D1DDDD1D1D11111111111D1DDD1D11D111:CC0CC1.1.2C0.2
dProofs85-unfiltered85+.txt:60517511   11 CCCpqrCqCsr           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDDD1D1D1DDDDDD1D1D1D1DDDD1D1D11111111111111:CCC0.1.2C1C3.2
