dProofs61.txt:96920                     9 CCCpCqrOq           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1D1D1DDD1D111111112:CCC0C1.2O1
dProofs63.txt:137445                    9 CCCpCqqOr           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DD1D1D1DDD1D1111D11112:CCC0C1.1O2
dProofs65.txt:192590                    9 CpCqCCprr           DDDD1D1D1DDDD1D1D1D1DDDD1D1D1DDD1D111111111111D1DDD1D1DDD1D111111:C0C1CC0.2.2
dProofs67.txt:266968                    9 CpCCCqprr           DDD11DDDD1D1D1DDDDDD1D1D1D1DDDD1D1D111111111111D1DDD1D1DDD1D1111111:C0CCC1.0.2.2
dProofs77.txt:1617156                   9 CCpqCpCrq           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDDD1D1D1D1DDDD1D1D1DDD1D11111111111:CC0.1C0C2.1
dProofs83.txt:4893160                   9 CCCpqOCqr           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111111112:CCC0.1OC1.2
dProofs89-unfiltered85+.txt:339821338   9 CCpOCqCpr           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1DDD1DDD1D1D1DDDD1D1D1111111D1D1DDD1D1111111112:CC0OC1C0.2
dProofs7.txt:2                         11 CpCCqrCrCqr         DD11D11:C0CC1.2C2C1.2 [instance of CpCqCrq]
dProofs7.txt:3                         11 CpCCCqrqCsq         DD1D111:C0CCC1.2.1C3.1
dProofs11.txt:7                        11 CCCpCqpqCrq         D1DDD11D111:CCC0C1.0.1C2.1 [instance of CCCpCqprCsr]
dProofs13.txt:12                       11 CCCOCpqpCrp         D1DDDD11D1112:CCCOC0.1.0C2.0 [instance of CCCOpqCrq]
dProofs13.txt:14                       11 CpCqCCrsCss         DD1D1D1D11D11:C0C1CC2.3C3.3 [instance of CpCqCrCss]
dProofs13.txt:18                       11 CpCCCqqrCsr         DD1DD1D11D111:C0CCC1.1.2C3.2
dProofs13.txt:22                       11 CpCCCqprCsr         DDDD1D1D11111:C0CCC1.0.2C3.2
dProofs15.txt:13                       11 CCCpCqprCsr         D1DD11DDD1D1111:CCC0C1.0.2C3.2
dProofs15.txt:22                       11 CpCOCCqOCrO         DD11DDDD11D1112:C0COCC1OC2O [instance of CpCOq]
dProofs15.txt:33                       11 CCCpCOqrCsr         DDDDD1D1D111112:CCC0CO1.2C3.2
dProofs17.txt:26                       11 CCCpCqrqCsq         D1DDD11DDD1D11111:CCC0C1.2.1C3.1
dProofs17.txt:33                       11 CpCCCqrsCrs         DD1D1D1DDD1D11111:C0CCC1.2.3C2.3
dProofs17.txt:40                       11 CCCCpqrqCpq         DDD1D1DDD1D111111:CCCC0.1.2.1C0.1
dProofs17.txt:45                       11 CpCCCOqrCsr         DDDDDD1D1D1111121:C0CCCO1.2C3.2
dProofs19.txt:43                       11 CpCqCCrqCsq         DD11DDD11DDD1D11111:C0C1CC2.1C3.1 [instance of CpCqCrCsq]
dProofs21.txt:47                       11 CCCpCqqrCsr         D1DD1D1D1DDD1D1111D11:CCC0C1.1.2C3.2
dProofs21.txt:81                       11 CpCqCrCsCtr         DD1DD1D1D111D1DD1D111:C0C1C2C3C4.2
dProofs23.txt:108                      11 CpCqCrCsCts         DD1D1D1DD1DD1D111D11D11:C0C1C2C3C4.3
dProofs27.txt:187                      11 CpCqCrCsCtt         DD1D1D1D1D1D1D1DDD1D1111D11:C0C1C2C3C4.4
dProofs27.txt:202                      11 CpCqCrCsCOt         DD1D1D1D1DDDDD1D1D111112D11:C0C1C2C3CO4
dProofs27.txt:255                      11 CpCqCCrpCsp         DDD11DDDD1D1D1111DDD1D11111:C0C1CC2.0C3.0 [instance of CpCqCrCsp]
dProofs27.txt:257                      11 CCpCpqCrCpq         DDD1DDD1D11DDDD1D1D11111111:CC0C0.1C2C0.1
dProofs29.txt:334                      11 CpCqCCCrsrr         DD1DD1D111D1DDD1D1DDD1D111111:C0C1CCC2.3.2.2
dProofs29.txt:373                      11 CCpqCCCqrpq         DDD1DDD1D1DDDD1D1D11111D11111:CC0.1CCC1.2.0.1
dProofs31.txt:513                      11 CpCCCqCrqrr         DD1DDD1D1DDD1D111111D1DDD11D111:C0CCC1C2.1.2.2 [instance of CpCCCqCrqss]
dProofs31.txt:517                      11 CCCpCqrsCrs         DDD1D1D1D1DDD1D1D1DDD1D11111111:CCC0C1.2.3C2.3
dProofs33.txt:736                      11 CpCCCOCqrqq         DD1DDD1D1DDD1D111111D1DDDD11D1112:C0CCCOC1.2.1.1 [instance of CpCCCOqrr]
dProofs33.txt:746                      11 CCCCpqCqqrr         DDD1DDD1D1DDD1D111111D1DD1D11D111:CCCC0.1C1.1.2.2 [instance of CCCpCqqrr]
dProofs33.txt:749                      11 CCCpqCqrCqr         DDD1DDD1D1DDD1D111111D1DDD1D11111:CCC0.1C1.2C1.2
dProofs35.txt:997                      11 CpCqCCCrrss         DD1DD1DD1D11D111D1DDD1D1DDD1D111111:C0C1CCC2.2.3.3
dProofs35.txt:1017                     11 CpCCCqCrqss         DD1DDD1D1DDD1D111111D1DD11DDD1D1111:C0CCC1C2.1.3.3
dProofs35.txt:1027                     11 CpCCCqCOrss         DD1DDD1D1DDD1D111111DDDDD1D1D111112:C0CCC1CO2.3.3
dProofs37.txt:1462                     11 CpCCCqCrsrr         DD1DDD1D1DDD1D111111D1DDD11DDD1D11111:C0CCC1C2.3.2.2
dProofs37.txt:1487                     11 CCCpCqCrqss         DDD1DDD1D1DDD1D111111D1DD1DD1D111D111:CCC0C1C2.1.3.3
dProofs37.txt:1497                     11 CpCqCCqrCsr         DDDD11DDD1D11111DDDD1D1D1DDD1D1111111:C0C1CC1.2C3.2
dProofs39.txt:1844                     11 CpCqCrCsCtq         DD1D1DDD1D1D1DDD1D1111DDDD1D1D111111D11:C0C1C2C3C4.1
